tfidf,token
8.394356513857263,bunch
7.547058653470059,bus
8.512139549513646,bush
5.829407156395726,business
8.026631733731946,business class
6.679558085765336,busy
8.394356513857263,button
6.784918601423162,buy
8.288995998199436,buying
6.5842479059610115,bwi
8.394356513857263,ca
7.952523761578224,cab
7.008062152737372,cabin
8.394356513857263,cabin crew
8.64567094213817,cabo
8.799821621965428,cake
8.64567094213817,cali
8.106674441405481,california
7.6471421120270415,callback
5.664327406036278,called
8.64567094213817,called amp
8.799821621965428,called times
8.799821621965428,called united
6.209554456519601,calling
6.5842479059610115,calls
7.065220566577321,came
8.512139549513646,camera
8.288995998199436,canada
8.799821621965428,canadian
3.664023184915165,cancelled
5.628736460933575,cancelled flight
7.952523761578224,cancelled flightation
8.026631733731946,cancelled flightations
5.207086028404393,cancelled flighted
6.807391457275221,cancelled flighting
7.036233029704069,cancelled flightlation
6.853911472910114,cancelled flightlations
4.37697299277129,cancelled flightled
7.6471421120270415,cancelled flightling
7.595848817639491,cancelled flights
8.026631733731946,cancun
8.193685818395112,canned
8.799821621965428,canned response
8.64567094213817,capt
7.372705266325282,captain
6.372073386017376,car
8.026631733731946,car seat
8.799821621965428,car seats
6.22213323872646,card
8.64567094213817,cards
5.594368817429367,care
8.193685818395112,care customers
8.799821621965428,care thanks
8.288995998199436,cares
7.818992368953701,carousel
8.106674441405481,carrier
8.193685818395112,carriers
8.193685818395112,carrieunderwood
6.6597554584691565,carry
8.64567094213817,carry bag
8.64567094213817,carrying
8.288995998199436,carryon
8.512139549513646,cart
6.720380080285591,case
8.64567094213817,case id
8.394356513857263,cash
7.295744225189153,catch
8.799821621965428,catch flight
8.799821621965428,catching
7.547058653470059,catering
6.953994931467096,cause
8.64567094213817,cause death
7.372705266325282,caused
8.799821621965428,caused miss
8.512139549513646,causes
8.106674441405481,causing
7.500538637835167,cc
8.026631733731946,cell
8.64567094213817,cell phone
7.372705266325282,center
8.512139549513646,central
8.64567094213817,century
6.6597554584691565,ceo
7.701209333297317,ceo battles
8.512139549513646,ceo seeks
8.026631733731946,certain
8.106674441405481,certainly
8.106674441405481,certificate
8.799821621965428,cessna
8.799821621965428,cessna http
8.64567094213817,chair
7.7583677471372665,chairman
8.64567094213817,chairs
6.2477756693397986,chance
7.883530890091272,chances
4.884470826444606,change
7.372705266325282,change fee
8.193685818395112,change fees
6.566229400458333,change flight
8.288995998199436,change flights
8.512139549513646,change online
